season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt,days_since_2011
SPRING,2011,JAN,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,8.175849,80.58330000000001,10.749882,985,0
SPRING,2011,JAN,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,9.083466000000001,69.6087,16.652113,801,1
SPRING,2011,JAN,NO HOLIDAY,MON,WORKING DAY,GOOD,1.229108,43.7273,16.636703,1349,2
SPRING,2011,JAN,NO HOLIDAY,TUE,WORKING DAY,GOOD,1.4000000000000004,59.0435,10.739832,1562,3
SPRING,2011,JAN,NO HOLIDAY,WED,WORKING DAY,GOOD,2.6669789999999995,43.695699999999995,12.522300000000001,1600,4
SPRING,2011,JAN,NO HOLIDAY,THU,WORKING DAY,GOOD,1.6043559999999992,51.8261,6.0008684,1606,5
SPRING,2011,JAN,NO HOLIDAY,FRI,WORKING DAY,MISTY,1.2365340000000007,49.8696,11.304642,1510,6
SPRING,2011,JAN,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,-0.24499999999999922,53.5833,17.875868,959,7
SPRING,2011,JAN,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,-1.4983489999999993,43.416700000000006,24.25065,822,8
SPRING,2011,JAN,NO HOLIDAY,MON,WORKING DAY,GOOD,-0.9108490000000007,48.2917,14.958889,1321,9
SPRING,2011,JAN,NO HOLIDAY,TUE,WORKING DAY,MISTY,-0.0527230000000003,68.6364,8.182844000000001,1263,10
SPRING,2011,JAN,NO HOLIDAY,WED,WORKING DAY,GOOD,0.11816899999999997,59.954499999999996,20.410009,1162,11
SPRING,2011,JAN,NO HOLIDAY,THU,WORKING DAY,GOOD,-0.24499999999999922,47.0417,20.166999999999998,1406,12
SPRING,2011,JAN,NO HOLIDAY,FRI,WORKING DAY,GOOD,-0.43910999999999945,53.7826,8.478716,1421,13
SPRING,2011,JAN,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,2.9666510000000006,49.875,10.583521,1248,14
SPRING,2011,JAN,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,2.888349,48.375,12.625010999999999,1204,15
SPRING,2011,JAN,HOLIDAY,MON,NO WORKING DAY,MISTY,0.264151,53.75,12.999139,1000,16
SPRING,2011,JAN,NO HOLIDAY,TUE,WORKING DAY,MISTY,2.1833489999999998,86.16669999999999,9.833924999999999,683,17
SPRING,2011,JAN,NO HOLIDAY,WED,WORKING DAY,MISTY,5.732177999999999,74.1739,13.957239,1650,18
SPRING,2011,JAN,NO HOLIDAY,THU,WORKING DAY,MISTY,4.298349,53.833299999999994,13.125568,1927,19
SPRING,2011,JAN,NO HOLIDAY,FRI,WORKING DAY,GOOD,0.34249999999999936,45.7083,23.667214,1543,20
SPRING,2011,JAN,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,-5.2208711999999995,40,11.52199,981,21
SPRING,2011,JAN,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,-3.4634801,43.6522,16.5222,986,22
SPRING,2011,JAN,NO HOLIDAY,MON,WORKING DAY,GOOD,-3.4226089,49.173899999999996,10.60811,1416,23
SPRING,2011,JAN,NO HOLIDAY,TUE,WORKING DAY,MISTY,2.5034660000000013,61.695699999999995,8.696332,1985,24
SPRING,2011,JAN,NO HOLIDAY,WED,WORKING DAY,RAIN/SNOW/STORM,2.2225,86.25,19.68795,506,25
SPRING,2011,JAN,NO HOLIDAY,THU,WORKING DAY,GOOD,1.165000000000001,68.75,7.627078999999999,431,26
SPRING,2011,JAN,NO HOLIDAY,FRI,WORKING DAY,MISTY,1.563466,79.30430000000001,8.2611,1167,27
SPRING,2011,JAN,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,1.2365340000000007,65.17389999999999,9.739455,1098,28
SPRING,2011,JAN,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,2.176534,72.2174,4.956834199999999,1096,29
SPRING,2011,JAN,NO HOLIDAY,MON,WORKING DAY,MISTY,0.49915099999999946,60.375,12.541864,1501,30
SPRING,2011,FEB,NO HOLIDAY,TUE,WORKING DAY,MISTY,1.032178,82.9565,3.565271,1360,31
SPRING,2011,FEB,NO HOLIDAY,WED,WORKING DAY,MISTY,4.220000000000001,77.5417,17.708636,1526,32
SPRING,2011,FEB,NO HOLIDAY,THU,WORKING DAY,GOOD,0.7869790000000005,43.7826,18.609384,1550,33
SPRING,2011,FEB,NO HOLIDAY,FRI,WORKING DAY,MISTY,1.9312880000000003,58.521699999999996,8.565213,1708,34
SPRING,2011,FEB,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,2.9666510000000006,92.91669999999999,10.792293,1005,35
SPRING,2011,FEB,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,5.434151,56.833299999999994,9.5006,1623,36
SPRING,2011,FEB,NO HOLIDAY,MON,WORKING DAY,GOOD,4.768348999999999,73.83330000000001,3.0423561,1712,37
SPRING,2011,FEB,NO HOLIDAY,TUE,WORKING DAY,GOOD,2.3791510000000002,53.7917,24.25065,1530,38
SPRING,2011,FEB,NO HOLIDAY,WED,WORKING DAY,MISTY,-1.6651990000000003,49.4783,12.652213,1605,39
SPRING,2011,FEB,NO HOLIDAY,THU,WORKING DAY,GOOD,-1.2156440000000002,43.7391,14.869645,1538,40
SPRING,2011,FEB,NO HOLIDAY,FRI,WORKING DAY,GOOD,0.887277000000001,50.6364,7.272849999999999,1746,41
SPRING,2011,FEB,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,2.4574999999999996,54.4167,13.625589,1472,42
SPRING,2011,FEB,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,6.876534000000001,45.7391,17.479160999999998,1589,43
SPRING,2011,FEB,NO HOLIDAY,MON,WORKING DAY,GOOD,11.504999999999999,37.583299999999994,27.999836,1913,44
SPRING,2011,FEB,NO HOLIDAY,TUE,WORKING DAY,GOOD,4.506089000000001,31.434800000000003,19.522058,1815,45
SPRING,2011,FEB,NO HOLIDAY,WED,WORKING DAY,GOOD,6.958267000000001,42.3478,16.869996999999998,2115,46
SPRING,2011,FEB,NO HOLIDAY,THU,WORKING DAY,GOOD,12.484151,50.5,15.416968,2475,47
SPRING,2011,FEB,NO HOLIDAY,FRI,WORKING DAY,GOOD,16.518349,51.6667,17.749975000000003,2927,48
SPRING,2011,FEB,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,10.760849,18.7917,34.000021,1635,49
SPRING,2011,FEB,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,5.405199,40.7826,14.956745,1812,50
SPRING,2011,FEB,HOLIDAY,MON,NO WORKING DAY,MISTY,6.2566510000000015,60.5,20.625682,1107,51
SPRING,2011,FEB,NO HOLIDAY,TUE,WORKING DAY,GOOD,0.5644340000000003,57.7778,13.110761,1450,52
SPRING,2011,FEB,NO HOLIDAY,WED,WORKING DAY,GOOD,2.4217329999999997,42.3043,6.3055710000000005,1917,53
SPRING,2011,FEB,NO HOLIDAY,THU,WORKING DAY,MISTY,5.895644000000001,69.7391,16.783231999999998,1807,54
SPRING,2011,FEB,NO HOLIDAY,FRI,WORKING DAY,MISTY,9.124355999999999,71.2174,23.218113,1461,55
SPRING,2011,FEB,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,5.277499999999998,53.7917,12.500257,1969,56
SPRING,2011,FEB,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,8.143466,68,8.391615999999999,2402,57
SPRING,2011,FEB,NO HOLIDAY,MON,WORKING DAY,MISTY,11.141831,87.63640000000001,19.408962,1446,58
SPRING,2011,MAR,NO HOLIDAY,TUE,WORKING DAY,GOOD,4.533348999999999,53.5,14.500475,1851,59
SPRING,2011,MAR,NO HOLIDAY,WED,WORKING DAY,GOOD,7.745000000000001,44.9583,20.624811,2134,60
SPRING,2011,MAR,NO HOLIDAY,THU,WORKING DAY,GOOD,1.321651000000001,31.833299999999998,15.125518000000001,1685,61
SPRING,2011,MAR,NO HOLIDAY,FRI,WORKING DAY,MISTY,4.298349,61.0417,13.624182,1944,62
SPRING,2011,MAR,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,10.055848999999998,78.91669999999999,16.875357,2077,63
SPRING,2011,MAR,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,9.696534,94.8261,23.000229,605,64
SPRING,2011,MAR,NO HOLIDAY,MON,WORKING DAY,GOOD,4.3017330000000005,55.1304,22.870584,1872,65
SPRING,2011,MAR,NO HOLIDAY,TUE,WORKING DAY,GOOD,5.747499999999999,42.0833,8.083549999999999,2133,66
SPRING,2011,MAR,NO HOLIDAY,WED,WORKING DAY,MISTY,5.904151000000001,77.5417,14.750050000000002,1891,67
SPRING,2011,MAR,NO HOLIDAY,THU,WORKING DAY,RAIN/SNOW/STORM,10.287277,0,17.545759,623,68
SPRING,2011,MAR,NO HOLIDAY,FRI,WORKING DAY,MISTY,6.876534000000001,64.95649999999999,15.60899,1977,69
SPRING,2011,MAR,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,7.470848999999999,59.458299999999994,14.791924999999999,2132,70
SPRING,2011,MAR,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,10.064356,52.73910000000001,18.130468,2417,71
SPRING,2011,MAR,NO HOLIDAY,MON,WORKING DAY,GOOD,7.285198999999999,49.695699999999995,9.174042,2046,72
SPRING,2011,MAR,NO HOLIDAY,TUE,WORKING DAY,MISTY,6.917376999999998,65.5652,12.348703,2056,73
SPRING,2011,MAR,NO HOLIDAY,WED,WORKING DAY,MISTY,9.165199000000001,77.65220000000001,13.608839,2192,74
SPRING,2011,MAR,NO HOLIDAY,THU,WORKING DAY,GOOD,11.504999999999999,60.291700000000006,14.041792999999998,2744,75
SPRING,2011,MAR,NO HOLIDAY,FRI,WORKING DAY,GOOD,17.380000000000003,52.5217,15.478139,3239,76
SPRING,2011,MAR,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,14.2075,37.9167,24.667189,3117,77
SPRING,2011,MAR,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,7.627500000000001,47.375,13.917307,2471,78
SUMMER,2011,MAR,NO HOLIDAY,MON,WORKING DAY,MISTY,12.230445,73.73910000000001,19.348461,2077,79
SUMMER,2011,MAR,NO HOLIDAY,TUE,WORKING DAY,GOOD,12.758348999999999,62.4583,15.125250000000001,2703,80
SUMMER,2011,MAR,NO HOLIDAY,WED,WORKING DAY,MISTY,8.306979000000002,83.9565,15.695487,2121,81
SUMMER,2011,MAR,NO HOLIDAY,THU,WORKING DAY,MISTY,5.395,80.58330000000001,16.333729,1865,82
SUMMER,2011,MAR,NO HOLIDAY,FRI,WORKING DAY,GOOD,4.415849,49.5,15.458575000000002,2210,83
SUMMER,2011,MAR,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,4.494150999999999,39.4167,14.041257,2496,84
SUMMER,2011,MAR,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,3.893021000000001,49.3913,12.348099999999999,1693,85
SUMMER,2011,MAR,NO HOLIDAY,MON,WORKING DAY,GOOD,4.424356000000001,30.2174,14.217668,2028,86
SUMMER,2011,MAR,NO HOLIDAY,TUE,WORKING DAY,GOOD,6.217499999999999,31.4167,15.208732,2425,87
